User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer,Question #2 Answer,Question #3 Synonym Group,Question #3 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms)
1006804921,2020-07-03 16:00:00,Complete,News,Male,55-64,US-WEST-CA-San Francisco,,No,4,Almost never interact with them,Almost never interact with them,4574,5725,40851
1062379016,2020-07-01 00:00:00,Complete,News,Male,18-24,US-WEST-CA-San Francisco,,Yes,1,police officers are given permission to kill black and brown people and the mentally ill with impunity,police officers are given permission to kill black and brown people and the mentally ill with impunity,8607,3326,35465
1152304067,2020-07-03 20:00:00,Complete,News,Female,Unknown,US-WEST-CA-San Francisco,,No,1,In the past my friends and I have experienced harassment from the police for skateboarding. These situations were escalated by the police irresponsibly as they were in positions of power,In the past my friends and I have experienced harassment from the police for skateboarding. These situations were escalated by the police irresponsibly as they were in positions of power,6835,5194,193106
1627665333,2020-07-03 21:00:00,Complete,News,Female,25-34,US-WEST-CA-San Francisco,,Prefer not to answer,2,n/a,n/a,10390,5604,8266
1629250773,2020-07-02 19:00:00,Complete,News,Unknown,Unknown,US-WEST-CA-San Francisco,,No,3,"I'm white, so I'm not a target.","I'm white, so I'm not a target.",10769,6411,35484
1630753614,2020-07-03 03:00:00,Complete,News,Unknown,Unknown,US-WEST-CA-San Francisco,,No,3,No problem except for some individual unpleasantness.,No problem except for some individual unpleasantness.,5684,14444,146485
1691171601,2020-07-03 07:00:00,Complete,News,Female,45-54,US-WEST-CA-San Francisco,,No,4,No prob,No prob,43718,7267,9159
1777004044,2020-07-02 16:00:00,Complete,News,Male,35-44,US-WEST-CA-San Francisco,,Yes,3,Many instances of publicized police misconduct. Racial jokes. Shootings. Etc.,Many instances of publicized police misconduct. Racial jokes. Shootings. Etc.,11294,6664,24514
2111578464,2020-07-02 23:00:00,Complete,News,Male,25-34,US-WEST-CA-San Francisco,,Prefer not to answer,1,I just want to read the article :/,I just want to read the article :/,20055,3140,12458
453973494,2020-07-03 19:00:00,Complete,News,Unknown,Unknown,US-WEST-CA-San Francisco,,No,3,Police provide a needed service but police unions have given them no checks or balances,Police provide a needed service but police unions have given them no checks or balances,713851,3267,51949
839326108,2020-07-03 04:00:00,Complete,News,Female,25-34,US-WEST-CA-San Francisco,,Prefer not to answer,1,Not based on actually helping people or solving problems - unless the person calling is from a good neighborhood.,Not based on actually helping people or solving problems - unless the person calling is from a good neighborhood.,3749,2267,49880
