User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer,Question #2 Answer,Question #3 Synonym Group,Question #3 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms)
136184788,2020-07-06 19:00:00,Complete,Other,Male,18-24,US-WEST-CA-San Francisco,,Prefer not to answer,3,Ma,Ma,4734,3662,3526
1390027433,2020-07-02 17:00:00,Complete,News,Female,55-64,US-WEST-CA-San Francisco,,No,3,I don't personally have bad experiences but I know what the police are capable of and it's scary.,I don't personally have bad experiences but I know what the police are capable of and it's scary.,9031,3504,36706
1518720187,2020-07-08 03:00:00,Complete,News,Unknown,Unknown,US-WEST-CA-San Francisco,,No,3,"I don't like the police culture, but they are a necessary component of civilization.","I don't like the police culture, but they are a necessary component of civilization.",6018,15426,53877
1660984723,2020-07-08 17:00:00,Complete,News,Male,35-44,US-WEST-CA-San Francisco,,No,4,yes,yes,14398,5502,4256
1671417580,2020-07-06 22:00:00,Complete,News,Female,35-44,US-WEST-CA-San Francisco,,Yes,1,Abc,Abc,8159,2931,8576
173026390,2020-07-04 18:00:00,Complete,News,Male,25-34,US-WEST-CA-San Francisco,,Prefer not to answer,3,usually pretty amped but respectful,usually pretty amped but respectful,8167,4626,15448
1778337502,2020-07-03 21:00:00,Complete,News,Male,55-64,US-WEST-CA-San Francisco,,No,1,defund the police,defund the police,5557,3617,11300
1805181608,2020-07-06 16:00:00,Complete,Arts & Entertainment,Male,35-44,US-WEST-CA-San Francisco,,No,3,They don't often address issue in my neighborhood and clearly have targeted non-white people,They don't often address issue in my neighborhood and clearly have targeted non-white people,8916,7207,57807
2028177405,2020-07-04 20:00:00,Complete,News,Female,25-34,US-WEST-CA-San Francisco,,No,4,I feel our police force is doing a relatively good job without too much aggression.,I feel our police force is doing a relatively good job without too much aggression.,23283,10126,58316
670179015,2020-07-07 21:00:00,Complete,News,Male,25-34,US-WEST-CA-San Francisco,,No,3,yes,yes,18224,3132,8322
798094298,2020-07-07 17:00:00,Complete,News,Male,35-44,US-WEST-CA-San Francisco,,No,4,because I wanted to,because I wanted to,13641,7407,9553
